	hsa05171	hsa04621	hsa04613	hsa04622	hsa04668	hsa04144	hsa04650	hsa04620	hsa04670	hsa04666	hsa04611	hsa04610	hsa04614	hsa03015	hsa04623	hsa04270	hsa04630
HERC5	3.402122793580266	0.0	0.0	1.797807234374233	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
OAS1	3.335699197328347	0.0	0.0	1.6619364584597367	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IRF7	1.7282223494530333	2.947125773313509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
EPSTI1	1.8831618439235676	2.551791741876219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFIH1	1.8809856124503384	2.5500706061668024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
FLRT3	2.2351174344892684	0.0	0.0	1.931598453522226	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFIT3	3.595298577109157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SCNN1G	1.7891448697769952	1.8022271494023543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
USP18	3.152465535219108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
OAS2	3.081010883756685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
RN7SL396P	0.0	0.0	3.0132807840920504	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFITM1	2.9993083310372355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CCL19	0.0	0.0	2.971221067890968	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
TMSB10P1	0.0	2.9333204774609887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IGHV1-46	0.0	0.0	2.865319254541718	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IL7	0.0	0.0	0.0	0.0	2.830881387516511	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ANOS1	0.0	2.7207442101382715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
OTOF	2.6538711673815256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
XAF1	0.0	2.6446282528411165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IGHGP	0.0	0.0	2.6432391317696124	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SLAMF1	0.0	0.0	2.6378996040376643	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
S1PR4	0.0	0.0	2.633443525187092	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFIT2	2.5373245743160595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
H2BC8	0.0	0.0	2.5336895198665994	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
NBPF11	0.0	0.0	2.4887772294145383	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CEACAM5	2.455239793680588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
AQP3	0.0	0.0	2.4158015663692036	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
RNVU1-7	2.3901111321008424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFI27	2.2828338115937545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IGLV3-10	0.0	0.0	2.2768750255236663	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CADM1	0.0	2.2015788671983074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SNORD14E	0.0	2.11656257938474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CXCL10	0.0	2.079553655366367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SNORA49	2.0109119584821475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SAMD9L	0.0	2.004670177211044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
PRSS16	0.0	0.0	0.0	0.0	0.0	1.9982895370083815	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SLC6A8	0.0	0.0	1.9786293352841176	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
TNFSF10	0.0	1.9630641770875918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
DEPDC1B	0.0	0.0	1.9358914658788395	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
RUFY4	0.0	1.9257219201974556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ARVCF	0.0	0.0	1.9121718536215115	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFI35	0.0	1.9066339379976192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
KIF2C	0.0	0.0	1.8927389786965483	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
NME9	0.0	1.8760330430728387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
RNA5-8S5	0.0	0.0	1.857660149674778	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SPTLC3	0.0	0.0	1.851101793033257	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
RNU11	0.0	0.0	0.0	0.0	0.0	0.0	1.8471415734259973	0.0	0.0	0	0	0	0	0	0	0	0
BBS10	0.0	1.845901523109283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
PRRT2	0.0	0.0	1.8308607964629733	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CLUHP3	0.0	0.0	1.8294788341880621	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SP110	0.0	0.0	1.8267872448411402	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
LGALS13	0.0	0.0	1.819405271842085	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CD80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8155348619104876	0.0	0	0	0	0	0	0	0	0
COL5A3	0.0	0.0	1.8145651050361844	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IGHV4-34	0.0	0.0	1.7888143019711236	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ACP5	0.0	0.0	1.7870025753886587	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IGHV5-51	0.0	0.0	1.7793946608778932	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SLC2A1	0.0	1.7740703198893322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
PARP9	1.7736157747231092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
KIFC1	0.0	0.0	1.7624928350868938	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SCEL	0.0	1.7215974000321232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
HSF4	0.0	0.0	1.7177799046567233	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
MZF1-AS1	0.0	0.0	1.691379475946965	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
LINC01138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6894247394386392	0	0	0	0	0	0	0	0
EBF4	0.0	0.0	1.680457420467235	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SCNN1B	0.0	1.6763898101540393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
TXLNB	0.0	0.0	1.6744105697157474	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CARD11	0.0	0.0	1.672008103802478	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
MCM8	0.0	0.0	1.6590407093273454	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
