	hsa05171	hsa04621	hsa04613	hsa04668	hsa04622	hsa04623	hsa04614	hsa04666	hsa04650	hsa04670	hsa04611	hsa04620	hsa04610	hsa03015	hsa04270	hsa04144	hsa04630
GALM	4.261474776848003	2.711827800972642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SIGLEC1	3.5874306192487895	0.0	0.0	0.0	1.6480098528035216	1.6480098528035216	0.0	0.0	0.0	0	0	0	0	0	0	0	0
BATF2	3.822297166390766	3.0365169108829098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
BTN3A1	3.4985372146776244	3.3398897209296985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFIT5	3.8956432573215816	2.9220314239288383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
OAS3	3.891024419066501	2.9160936645476307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
GBP1	3.8864871276525346	2.9102569712337414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFIT2	3.8864871276525346	2.9102569712337414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
STAT1	3.8820284632817996	2.9045177687270916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
PARP14	3.8820284632817996	2.9045177687270916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SAMD9L	3.8820284632817996	2.9045177687270916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
TRIM5	3.8776456615767123	2.8988726707398205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
GBP4	3.1564339174980254	3.61834062374486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
RNF213	3.8733361026972535	2.893318466788527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
HERC6	4.4604025136455325	2.270338632795861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
DDX58	3.8118188303543477	2.822821566687249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
STAT2	3.8024820235318915	2.810699419956263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
GBP3	3.8024820235318915	2.810699419956263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
APOL6	3.8024820235318915	2.810699419956263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFIH1	3.8024820235318915	2.810699419956263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
DTX3L	3.7847469666381963	2.7876265160732574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
USP18	4.36158225933726	2.156432432781282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
DDX60	3.7156792203989055	2.6947863808134356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
MX1	4.25704796830219	2.027976663892238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
H4C8	0.0	0.0	6.264382848155846	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
H2BC8	0.0	0.0	6.264382848155846	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
OASL	4.248436948254008	2.0118879254525766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
PARP9	3.486907501472536	2.382208343288657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ETV7	3.2382525019817243	2.5437533799277388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
EIF2AK2	3.9637941118262514	1.6547095232054159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
PCGF5	2.640643930638929	2.529307060830708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SEPTIN4	2.7878093536971216	2.189613532966887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
H2BC9	0.0	0.0	4.628406737864859	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
H2BC17	0.0	0.0	4.628406737864859	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
TRIM22	2.6418007793317693	1.9029349057473948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
FCGR3B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8952105265258858	1.8952105265258858	0	0	0	0	0	0	0	0
H2BC11	0.0	0.0	3.738856750980125	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CARD17	1.754980327331577	0.0	0.0	0.0	1.754980327331577	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFI6	3.455786836836485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
OTOF	3.1910883610150598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
DEFA3	0.0	3.1438781288874873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
H2BC5	0.0	0.0	3.1313901755004316	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
H2BC7	0.0	0.0	2.691826966162667	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
H2BC4	0.0	0.0	2.463985019603157	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
TPPP3	0.0	0.0	0.0	2.229112031090055	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFI27	2.139171969907079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
DEFA1	0.0	1.9711032918640268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
DEFA1B	0.0	1.951213242778453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CTSG	0.0	1.951213242778453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
WLS	0.0	0.0	0.0	0.0	0.0	0.0	1.9463484012325711	0.0	0.0	0	0	0	0	0	0	0	0
SAP30	0.0	0.0	0.0	1.8485962885014082	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
TPST1	0.0	0.0	0.0	1.8485962885014082	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CAMP	0.0	1.8386158073656365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
LY6E	1.7978075236589603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
DEFA4	0.0	1.7814899360022958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
VNN1	0.0	0.0	0.0	1.7658599078907222	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
PATL1	1.694733423174442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
