GeneSet_ID	N	M	n	m	p_value	FDR_q_value
hsa04020	15500	1730	200	9	0.9997562280017146	1.0
hsa04060	15500	1730	300	40	0.1335858052291986	0.48553302285227956
hsa04061	15500	1730	100	0	1.0	1.0
hsa04062	15500	1730	200	45	3.0157083800490043e-06	4.071206313066156e-05
hsa04064	15500	1730	100	23	0.0005384077011555989	0.004070362220736328
hsa04066	15500	1730	200	0	1.0	1.0
hsa04068	15500	1730	400	32	0.9859331976824401	1.0
hsa04071	15500	1730	100	0	1.0	1.0
hsa04072	15500	1730	100	0	1.0	1.0
hsa04080	15500	1730	300	13	0.9999934348095975	1.0
hsa04110	15500	1730	1400	199	0.00013181378953715033	0.0014654591895600832
hsa04114	15500	1730	700	100	0.005392876420703704	0.026134708808025646
hsa04115	15500	1730	400	68	0.000255716082254254	0.0025437020813712636
hsa04120	15500	1730	400	30	0.9946716789116048	1.0
hsa04137	15500	1730	100	0	1.0	1.0
hsa04141	15500	1730	600	91	0.001379576916875442	0.007901213251195714
hsa04142	15500	1730	200	32	0.022963740688256785	0.09863970432001211
hsa04145	15500	1730	500	27	0.9999981550025063	1.0
hsa04150	15500	1730	100	1	0.9999930382503666	1.0
hsa04151	15500	1730	300	12	0.999997942441588	1.0
hsa04152	15500	1730	300	17	0.9996843531756177	1.0
hsa04210	15500	1730	200	31	0.036686862635630355	0.13867634076268276
hsa04215	15500	1730	200	31	0.036686862635630355	0.13867634076268276
hsa04217	15500	1730	400	92	6.620208179449781e-12	1.7874562084514411e-10
hsa04218	15500	1730	700	91	0.06650555560472093	0.24646176488808347
hsa04330	15500	1730	200	22	0.56277282841107	1.0
hsa04360	15500	1730	100	0	1.0	1.0
hsa04380	15500	1730	400	45	0.5014113695454394	1.0
hsa04390	15500	1730	100	13	0.32291312198996697	1.0
hsa04510	15500	1730	200	0	1.0	1.0
hsa04512	15500	1730	200	15	0.9673241102704904	1.0
hsa04514	15500	1730	200	21	0.6508923675934284	1.0
hsa04540	15500	1730	300	15	0.999947495089848	1.0
hsa04550	15500	1730	100	10	0.6910350570445983	1.0
hsa04610	15500	1730	200	23	0.47262375558993625	1.0
hsa04611	15500	1730	100	0	1.0	1.0
hsa04613	15500	1730	1300	64	0.9999999999778612	1.0
hsa04614	15500	1730	200	14	0.982177343117469	1.0
hsa04620	15500	1730	100	22	0.0013178577828729873	0.007783597530093582
hsa04621	15500	1730	1500	261	1.865651242405344e-14	5.876801413576835e-13
hsa04622	15500	1730	200	46	1.234236363096923e-06	1.943922271877654e-05
hsa04623	15500	1730	200	48	1.903687247540393e-07	3.597968897851343e-06
hsa04625	15500	1730	200	45	3.0157083800490043e-06	4.071206313066156e-05
hsa04630	15500	1730	300	45	0.024014548367817922	0.09866847046777365
hsa04640	15500	1730	500	24	0.9999998836184701	1.0
hsa04650	15500	1730	100	0	1.0	1.0
hsa04657	15500	1730	200	26	0.2320530286175294	0.7831789715841618
hsa04658	15500	1730	100	22	0.0013178577828729873	0.007783597530093582
hsa04659	15500	1730	200	34	0.008158205436598514	0.03585815877946789
hsa04666	15500	1730	100	0	1.0	1.0
hsa04668	15500	1730	100	0	1.0	1.0
hsa04672	15500	1730	200	40	0.00017150294505782616	0.0018007809231071748
hsa04714	15500	1730	300	0	1.0	1.0
hsa04722	15500	1730	100	0	1.0	1.0
hsa04723	15500	1730	200	0	1.0	1.0
hsa04724	15500	1730	100	0	1.0	1.0
hsa04726	15500	1730	100	0	1.0	1.0
hsa04727	15500	1730	100	0	1.0	1.0
hsa04810	15500	1730	200	0	1.0	1.0
hsa04910	15500	1730	100	0	1.0	1.0
hsa04914	15500	1730	700	85	0.2152734902289264	0.7397579936957652
hsa04915	15500	1730	100	12	0.4410353270677212	1.0
hsa04917	15500	1730	100	22	0.0013178577828729873	0.007783597530093582
hsa04918	15500	1730	100	12	0.4410353270677212	1.0
hsa04919	15500	1730	300	23	0.9830243691055037	1.0
hsa04921	15500	1730	100	9	0.7986815538505874	1.0
hsa04932	15500	1730	200	0	1.0	1.0
hsa04933	15500	1730	100	22	0.0013178577828729873	0.007783597530093582
hsa04934	15500	1730	100	0	1.0	1.0
hsa04935	15500	1730	100	22	0.0013178577828729873	0.007783597530093582
hsa04936	15500	1730	200	3	0.99999998439064	1.0
hsa04970	15500	1730	200	18	0.8637386467406446	1.0
hsa04972	15500	1730	100	9	0.7986815538505874	1.0
hsa04973	15500	1730	100	13	0.32291312198996697	1.0
hsa04974	15500	1730	200	1	0.9999999999562909	1.0
hsa04975	15500	1730	100	4	0.9970766896399473	1.0
hsa04979	15500	1730	200	4	0.9999998631629958	1.0
hsa05010	15500	1730	800	23	1.0	1.0
hsa05012	15500	1730	600	17	0.9999999999849797	1.0
hsa05014	15500	1730	400	0	1.0	1.0
hsa05016	15500	1730	400	0	1.0	1.0
hsa05020	15500	1730	400	0	1.0	1.0
hsa05022	15500	1730	700	17	1.0	1.0
hsa05034	15500	1730	800	28	1.0	1.0
hsa05120	15500	1730	100	0	1.0	1.0
hsa05130	15500	1730	100	0	1.0	1.0
hsa05132	15500	1730	200	12	0.9957847086848803	1.0
hsa05133	15500	1730	100	23	0.0005384077011555989	0.004070362220736328
hsa05140	15500	1730	200	22	0.56277282841107	1.0
hsa05143	15500	1730	300	6	0.9999999997883946	1.0
hsa05144	15500	1730	300	6	0.9999999997883946	1.0
hsa05145	15500	1730	100	22	0.0013178577828729873	0.007783597530093582
hsa05146	15500	1730	200	24	0.38495880747004485	1.0
hsa05150	15500	1730	600	57	0.9192847684649716	1.0
hsa05152	15500	1730	400	31	0.9911958763018555	1.0
hsa05160	15500	1730	1200	238	3.6452451106832667e-20	2.2965044197304583e-18
hsa05161	15500	1730	800	119	0.0005831460915903254	0.004239023511945058
hsa05162	15500	1730	900	212	8.87800514531276e-28	8.389714862320558e-26
hsa05163	15500	1730	200	0	1.0	1.0
hsa05164	15500	1730	1000	236	4.10479388953595e-31	7.758060451222946e-29
hsa05165	15500	1730	1000	130	0.033567164371248855	0.13217070971179237
hsa05166	15500	1730	700	60	0.9908103951381824	1.0
hsa05167	15500	1730	400	67	0.00043233764944022103	0.004070362220736328
hsa05168	15500	1730	900	188	2.0386103370182073e-18	9.63243384241103e-17
hsa05169	15500	1730	1100	180	4.337271809927707e-08	1.0246804650954209e-06
hsa05170	15500	1730	700	69	0.8828358813865612	1.0
hsa05171	15500	1730	1100	212	1.5967033864927087e-16	6.035538800942439e-15
hsa05200	15500	1730	900	85	0.9614319820760718	1.0
hsa05202	15500	1730	800	99	0.1444666291294846	0.5056332019531962
hsa05203	15500	1730	1300	96	0.9999992023151133	1.0
hsa05205	15500	1730	100	0	1.0	1.0
hsa05206	15500	1730	400	28	0.9982446558130365	1.0
hsa05207	15500	1730	500	49	0.8548370123830656	1.0
hsa05208	15500	1730	400	0	1.0	1.0
hsa05210	15500	1730	200	13	0.9909749549510569	1.0
hsa05211	15500	1730	100	0	1.0	1.0
hsa05212	15500	1730	300	22	0.9900769332973773	1.0
hsa05213	15500	1730	100	0	1.0	1.0
hsa05214	15500	1730	200	0	1.0	1.0
hsa05215	15500	1730	300	12	0.999997942441588	1.0
hsa05218	15500	1730	200	0	1.0	1.0
hsa05219	15500	1730	200	0	1.0	1.0
hsa05220	15500	1730	100	0	1.0	1.0
hsa05221	15500	1730	300	29	0.8211637598098697	1.0
hsa05222	15500	1730	100	0	1.0	1.0
hsa05223	15500	1730	200	0	1.0	1.0
hsa05224	15500	1730	200	0	1.0	1.0
hsa05225	15500	1730	100	0	1.0	1.0
hsa05226	15500	1730	200	0	1.0	1.0
hsa05231	15500	1730	100	0	1.0	1.0
hsa05235	15500	1730	400	45	0.5014113695454394	1.0
hsa05310	15500	1730	100	12	0.4410353270677212	1.0
hsa05321	15500	1730	200	22	0.56277282841107	1.0
hsa05322	15500	1730	1000	41	0.9999999999913481	1.0
hsa05340	15500	1730	100	18	0.027310199129725352	0.10982186458549131
hsa05410	15500	1730	100	0	1.0	1.0
hsa05412	15500	1730	100	0	1.0	1.0
hsa05414	15500	1730	100	0	1.0	1.0
hsa05415	15500	1730	300	0	1.0	1.0
hsa05417	15500	1730	300	29	0.8211637598098697	1.0
hsa05418	15500	1730	200	12	0.9957847086848803	1.0
