KEGG_ID	KEGG_Name	methods	BLCA	KICH	PRAD	BRCA	KIRC	READ	COAD	STAD	LIHC	THCA	LUAD	UCEC	HNSC	LUSC	CESC	CHOL	metaz
hsa04110	Cell cycle	Gscore_fdrq	21.94296118	0	0	38.40506144	0	0	0	38.40506144	38.40506144	0	38.40506144	38.40506144	30.7904423	0	0	0	61.18967767
hsa04115	p53 signaling pathway	Gscore_fdrq	0	0	0	30.00167691	0	0	0	7.672451471	9.534843788	5.367592217	35.75276625	28.71816026	8.18688719	0	0	0	31.30859452
hsa04142	Lysosome	Gscore_fdrq	5.2762191	6.487676832	0	0	17.01277525	0	0	0	0	25.85262374	24.37700912	0	0	27.35683523	0	0	26.59078482
hsa04150	mTOR signaling pathway	Gscore_fdrq	0	38.40506144	0	7.72203362	0	4.494477572	0	0	0	17.5812477	0	10.97870819	0	0	0	0	19.79538213
hsa04151	PI3K-Akt signaling pathway	Gscore_fdrq	38.40506144	30.24675487	38.40506144	32.64877465	0	38.40506144	38.40506144	22.48298688	0	11.84459952	19.30005384	0	32.47128367	38.40506144	38.40506144	32.79674677	103.0553922
hsa04210	Apoptosis	Gscore_fdrq	0	0	0	0	10.7242418	13.39925593	11.28129559	3.901135737	8.66288293	23.10880053	33.96213608	38.17666633	0	18.80246819	0	0	40.50472078
hsa04310	Wnt signaling pathway	Gscore_fdrq	10.87132877	0	38.40506144	11.41458637	0	19.42363837	37.07852107	22.93686368	0	0	0	0	0	0	6.642454138	0	36.69311346
hsa04330	Notch signaling pathway	Gscore_fdrq	0	38.40506144	0	18.84036995	12.27347303	6.091215288	5.760223483	0	0	0	0	0	0	0	5.868468496	8.696590613	23.98385058
hsa04340	Hedgehog signaling pathway	Gscore_fdrq	9.627568181	10.83304761	38.40506144	15.61443208	0	38.40506144	38.40506144	38.40506144	0	4.268290711	0	0	5.214719302	0	0	2.555023632	50.43333182
hsa04350	TGF-beta signaling pathway	Gscore_fdrq	28.06721368	0	3.857225764	14.729494	0	0	0	12.43114708	0	0	0	14.09266286	2.771440825	0	32.97553904	9.131311205	29.51400861
hsa04370	VEGF signaling pathway	Gscore_fdrq	0	32.23559605	2.367097583	2.204875487	12.00249013	19.4998606	37.64406674	0	0	0	0	19.73562233	0	0	0	0	31.42240223
hsa04510	Focal adhesion	Gscore_fdrq	38.40506144	22.49006193	38.40506144	38.40506144	0	38.40506144	38.40506144	38.40506144	0	25.94526486	5.257784419	31.98942817	38.40506144	31.68274065	38.40506144	24.86912301	112.3687236
hsa04512	ECM-receptor interaction	Gscore_fdrq	38.40506144	0	25.22750318	37.83008767	0	38.40506144	38.40506144	15.54206113	0	20.29557991	0	0	33.06228976	5.706375748	38.40506144	38.40506144	82.42230114
hsa04514	Cell adhesion molecules	Gscore_fdrq	38.40506144	0	9.628062108	36.73155333	38.40506144	38.40506144	38.40506144	38.40506144	0	0	38.40506144	0	15.29219762	38.40506144	38.40506144	23.08803385	97.9950846
hsa04520	Adherens junction	Gscore_fdrq	18.44576701	38.40506144	38.40506144	26.32533723	9.312355615	25.52954009	0	12.9283272	0	38.40506144	0	1.884272498	13.98562941	20.52491341	0	21.7182061	66.46738322
hsa04620	Toll-like receptor signaling pathway	Gscore_fdrq	0	14.45066054	0	0	38.40506144	38.40506144	38.40506144	0	0	0	7.943257045	0	0	38.40506144	0	0	44.00354083
hsa04630	JAK-STAT signaling pathway	Gscore_fdrq	4.656237441	27.70076754	31.15392933	0	37.09909502	1.958332681	34.79383306	0	0	8.009537399	4.845105004	13.59010072	0	38.40506144	9.387641917	7.167635489	54.69181926
hsa04660	T cell receptor signaling pathway	Gscore_fdrq	6.33615326	11.49987203	13.20977773	0	38.40506144	38.40506144	38.40506144	0	0	0	12.59369721	2.780684553	0	38.40506144	0	0	50.01010763
hsa04662	B cell receptor signaling pathway	Gscore_fdrq	34.25655971	25.31021021	14.6251186	0	38.40506144	38.40506144	38.40506144	0	0	0	31.81324789	12.1006654	0	38.40506144	0	0	67.93151189
hsa04810	Regulation of actin cytoskeleton	Gscore_fdrq	38.40506144	20.86630047	38.40506144	14.40683007	18.67022245	38.40506144	38.40506144	38.40506144	0	3.521911775	11.48322785	36.57175481	31.03946631	38.40506144	36.37189153	16.02392251	104.8464741
hsa04915	Estrogen signaling pathway	Gscore_fdrq	0	0	0	0	0	12.77291678	18.03525119	20.87339611	0	27.14031885	0	0	0	0	6.329071001	0	21.28773848
hsa05160	Hepatitis C	Gscore_fdrq	0	0	0	0	0	0	0	0	0	10.43613677	0	2.517665548	0	0	0	0	3.23845058
hsa05161	Hepatitis B	Gscore_fdrq	6.279868186	16.26463013	0	18.89212512	20.8993258	14.52544607	1.668408928	0	15.71515561	7.721303585	30.42845419	16.47534663	0	14.754314	0	2.951903863	41.64407053
hsa05165	Human papillomavirus infection	Gscore_fdrq	11.60057782	38.40506144	11.88671336	25.95352789	2.350773718	38.40506144	15.24950512	0	0	32.65589191	0	11.79174027	25.8509883	0	25.33878493	21.77559594	65.31605553
hsa05166	Human T-cell leukemia virus 1 infection	Gscore_fdrq	0	15.52615451	0	33.67780462	38.40506144	23.29860317	37.1787618	22.8415605	24.57127399	5.850594286	38.40506144	35.36599256	1.907127992	38.40506144	0	0	78.85826444
hsa05167	Kaposi sarcoma-associated herpesvirus infection	Gscore_fdrq	0	16.75902864	4.505241411	11.85467249	31.90036471	38.40506144	38.40506144	0	0	16.45806775	22.3378369	15.72755877	0	38.40506144	0	0	58.68948874
hsa05169	Epstein-Barr virus infection	Gscore_fdrq	7.970467609	37.1873734	4.232922572	5.603789641	38.40506144	38.40506144	38.40506144	0	0	10.38591343	38.40506144	2.775881451	0	38.40506144	0	0	65.04541382
hsa05200	Pathways in cancer	Gscore_fdrq	31.13263376	26.81503377	38.15662155	29.02850127	17.90929286	28.29429081	23.76570963	25.04539537	0	13.88061912	13.23657024	8.64324979	25.90795848	38.40506144	38.40506144	0	89.65649988
hsa05202	Transcriptional misregulation in cancer	Gscore_fdrq	0	3.234669625	13.36236337	26.88330755	20.00815084	38.40506144	38.40506144	0	0	16.96451034	10.02382143	11.97147721	0	26.57680933	7.337489825	0	53.2931806
hsa05203	Viral carcinogenesis	Gscore_fdrq	0	7.390961876	0	0	10.97972515	0	0	0	11.52647277	0	9.83214386	12.86678187	0	0	0	0	13.14902138
hsa05204	Chemical carcinogenesis - DNA adducts	Gscore_fdrq	3.829432781	0	0	0	0	0	0	0	4.071102644	9.622596605	0	0	0	0	0	16.86710759	8.597559904
hsa05205	Proteoglycans in cancer	Gscore_fdrq	38.40506144	14.59902149	38.40506144	33.67461294	0	38.40506144	38.40506144	26.73133365	0	33.67168825	0	19.28925329	37.96181513	0	23.41046645	5.913916524	87.21808837
hsa05206	MicroRNAs in cancer	Gscore_fdrq	38.40506144	38.34606534	38.40506144	38.40506144	0	13.07967723	0	24.03268154	20.46881909	19.67706735	33.21447139	38.40506144	7.367852728	0	21.97073602	0	82.94440411
hsa05207	Chemical carcinogenesis - receptor activation	Gscore_fdrq	0	0	0	0	0	0	0	38.40506144	5.110100393	0	0	0	0	0	0	18.95560665	15.61769212
hsa05208	Chemical carcinogenesis - reactive oxygen species	Gscore_fdrq	0	26.14461057	0	0	3.486437893	0	0	0	0	0	0	38.40506144	0	0	0	6.718688429	18.68869958
hsa05210	Colorectal cancer	Gscore_fdrq	0	7.609332001	0	0	0	0	0	7.59253748	0	10.09501182	0	0	0	0	0	0	6.324220325
hsa05211	Renal cell carcinoma	Gscore_fdrq	8.291102044	20.50735165	34.10507581	0	2.091021988	0	0	0	0	0	0	0	0	0	9.514954081	0	18.62737639
hsa05214	Glioma	Gscore_fdrq	27.92983305	30.31863158	15.21870958	23.22271416	0	14.97029309	19.22599705	0	0	0	0	17.30772741	11.86946437	0	13.76982394	0	43.45829855
hsa05215	Prostate cancer	Gscore_fdrq	38.40506144	28.77067611	25.52965192	31.23551977	0	23.21536813	27.93050283	8.999226858	6.683895724	13.93695431	19.48987283	20.69625023	10.0101326	0	24.67500399	22.31710057	75.47380433
hsa05216	Thyroid cancer	Gscore_fdrq	0	0	20.19228499	0	0	0	0	0	0	0	0	0	0	0	0	0	5.048071248
hsa05219	Bladder cancer	Gscore_fdrq	5.619861939	0	0	0	0	0	0	0	0	0	0	18.19186406	0	0	4.674306589	0	7.121508148
hsa05221	Acute myeloid leukemia	Gscore_fdrq	5.86755167	2.79360319	27.61297259	0	38.40506144	38.40506144	38.40506144	13.73406965	0	38.40506144	35.48775925	13.52968987	0	38.40506144	5.275228205	8.499822845	76.20650111
hsa05222	Small cell lung cancer	Gscore_fdrq	0	8.719960681	6.856803648	13.11634399	0	0	0	4.832076308	11.08199137	28.11701131	7.254747372	9.260272351	11.71329363	0	0	8.118712838	27.26780337
hsa05223	Non-small cell lung cancer	Gscore_fdrq	0	30.67971558	13.90493728	0	0	0	10.35742221	0	0	6.043285272	11.83386427	8.988003681	0	0	0	0	20.45180707
hsa05224	Breast cancer	Gscore_fdrq	4.948931655	9.49523994	29.96799431	5.705088634	0	33.47994379	16.87293488	9.375739127	0	0	0	0	10.10635086	0	11.15561965	0	32.77696071
hsa05225	Hepatocellular carcinoma	Gscore_fdrq	0	4.922295384	26.27426735	11.75774538	0	0	0	0	0	13.55467613	0	0	0	0	0	0	14.12724606
hsa05226	Gastric cancer	Gscore_fdrq	0	8.381915942	27.30413314	14.43732152	0	0	0	0	0	16.49513495	0	0	9.072623736	0	0	0	18.92278232
hsa05230	Central carbon metabolism in cancer	Gscore_fdrq	31.49710064	8.688331647	37.04012041	0	0	11.58143259	15.81013012	0	11.31286203	11.97414407	0	0	8.751297021	0	15.12048864	0	37.94397679
hsa05231	Choline metabolism in cancer	Gscore_fdrq	0	31.97277615	17.99076952	13.22045749	2.034661803	11.45776479	17.66296777	11.49820913	0	0	0	0	5.678221582	0	9.312741506	0	30.20714244
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	Gscore_fdrq	0	34.48024977	0	0	38.40506144	38.40506144	38.40506144	0	0	0	16.3267482	11.17678229	0	38.40506144	0	7.170194335	55.69355509
hsa00010	Glycolysis / Gluconeogenesis	NEA	0	16.72672958	2.518041341	3.177801869	14.08108147	0	0	0	10.24789049	5.759635806	0	4.138708791	5.565906589	0	0	17.69847244	19.9785671
hsa00020	Citrate cycle (TCA cycle)	NEA	0	2.606604674	0	0	0	0	0	0	0	0	0	0	0	0	0	7.842729092	2.612333441
hsa00030	Pentose phosphate pathway	NEA	0	2.467702641	0	0	2.224003795	0	0	0	0	0	0	0	0	0	0	5.037407196	2.432278408
hsa00190	Oxidative phosphorylation	NEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa00250	Alanine, aspartate and glutamate metabolism	NEA	3.750873024	16.33776573	5.69419298	5.849842878	14.09584736	6.606786424	8.244155466	7.490707551	17.48054454	8.010248101	7.642569333	7.574599014	10.48159934	4.370423455	3.428434238	19.3833017	36.61047278
hsa00260	Glycine, serine and threonine metabolism	NEA	0	13.11988649	2.269785838	0	11.66382588	0	1.993470628	0	14.05360871	4.091054354	2.239798738	4.082420825	4.432395764	0	0	15.64107164	18.39682972
hsa00330	Arginine and proline metabolism	NEA	5.082351123	19.79314106	8.47054313	7.175213015	16.08060943	5.21472262	5.881850884	4.414683817	14.98099249	7.503815862	7.725994578	7.942256672	11.19225048	2.827356475	0	16.90741947	35.29830028
hsa00564	Glycerophospholipid metabolism	NEA	6.12397868	15.82766012	14.50561906	13.17600329	14.21804861	8.24692346	9.811155585	4.402773857	15.30509678	10.61647275	7.550128298	8.928352877	9.765097596	3.202611545	0	14.68673718	39.09166492
hsa00980	Metabolism of xenobiotics by cytochrome P450	NEA	15.52808961	38.27555866	38.27555866	28.28456083	38.27555866	27.9781039	37.56266396	25.87765093	38.27555866	34.1040207	27.42189492	17.15276018	38.27555866	19.63357265	0	38.27555866	115.7991674
hsa01212	Fatty acid metabolism	NEA	0	9.816976548	0	1.710851543	5.711902648	0	0	0	9.871602763	0	0	0	3.130769892	0	0	17.050239	11.8230856
hsa03022	Basal transcription factors	NEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa03320	PPAR signaling pathway	NEA	4.213907818	20.49233062	10.16254447	11.1413705	15.88476409	6.457763752	9.028514893	4.382892526	17.30699327	8.96396284	5.029454008	6.671864122	12.3140643	0	0	19.35043238	37.85021489
hsa04010	MAPK signaling pathway	NEA	34.44672827	38.27555866	37.50179267	36.0494603	38.27555866	31.46852058	26.08596804	21.3055472	19.56964094	38.27555866	24.67131962	34.061145	26.60807836	15.19653283	16.01563065	21.32474071	114.7829453
hsa04020	Calcium signaling pathway	NEA	34.55447735	38.27555866	38.27555866	36.41431966	38.27555866	38.27555866	37.24086483	28.8192871	21.97632202	38.27555866	30.45729905	38.27555866	33.22207675	17.95729749	17.68544044	16.25834201	126.0597697
hsa04024	cAMP signaling pathway	NEA	31.90853418	38.27555866	36.66175184	31.06003707	38.27555866	38.27555866	33.76187273	25.39010422	19.17893264	38.27555866	27.62588953	33.68208121	27.53319108	17.96243195	16.02091531	15.94085706	117.4572084
hsa04060	Cytokine-cytokine receptor interaction	NEA	38.27555866	38.27555866	29.97884188	38.27555866	38.27555866	38.27555866	38.27555866	35.00023584	38.27555866	38.27555866	38.27555866	37.71105341	38.27555866	37.58659158	10.91290354	12.64105571	136.6465671
hsa04062	Chemokine signaling pathway	NEA	26.6619529	34.27749745	22.81739129	26.83645749	38.27555866	35.78386975	33.39441121	13.57845749	13.86282796	30.88154937	28.1488879	23.78909531	18.41553853	22.0950613	3.162628139	6.815066904	94.69906291
hsa04064	NF-kappa B signaling pathway	NEA	11.15937796	10.95872979	5.553370596	8.640767541	24.53725336	12.12160398	11.71828372	4.983110021	9.413331766	11.05950417	11.2556014	6.280217647	5.181049188	7.964625258	2.512972779	7.031468491	37.59281691
hsa04066	HIF-1 signaling pathway	NEA	14.58615165	25.53829849	13.2813394	16.58512929	27.12266898	15.75348955	11.83562351	7.766778424	9.433976003	23.66526877	14.51285352	19.39717901	11.33348968	7.965534954	9.004214773	14.02659794	60.45214849
hsa04110	Cell cycle	NEA	30.82587437	0	8.648806238	23.21235721	0	6.898345336	17.02289342	38.27555866	30.7213145	0	23.95253441	23.28408993	26.42162789	28.94995605	38.27555866	22.48692059	79.74395931
hsa04115	p53 signaling pathway	NEA	25.71649299	8.49760278	14.32164813	23.38559093	12.73365509	11.27837683	16.99006038	29.00127544	23.94229081	13.79298038	21.02562299	22.87853708	22.23432054	21.03261217	28.29932702	20.79448765	78.9812203
hsa04142	Lysosome	NEA	0	5.847355676	0	0	9.312824185	0	0	0	0	2.349698719	0	0	0	0	0	3.127668036	5.159386654
hsa04150	mTOR signaling pathway	NEA	6.182570282	13.527536	9.733024425	6.476883683	10.62706856	5.777817359	2.023263305	0	0	11.84347436	0	8.349033274	0	0	0	4.373548636	19.72855497
hsa04151	PI3K-Akt signaling pathway	NEA	31.2951173	38.27555866	26.69505095	33.5844309	38.27555866	28.47517837	23.63205527	18.67832415	17.43541372	38.27555866	25.56248262	33.2197812	25.20638521	18.20390614	17.87010565	18.8409914	108.3814747
hsa04210	Apoptosis	NEA	14.28814028	15.71085345	13.26718393	14.17612127	21.30429345	12.9977932	11.04066855	9.361943767	8.431085986	15.67668967	11.62763191	15.46586922	8.765433643	9.721286432	13.14965199	13.14985833	52.03362627
hsa04310	Wnt signaling pathway	NEA	26.23054641	35.12824168	29.9765573	25.01052939	24.96060575	24.34083399	22.48065657	21.51291357	14.98461634	34.9211404	19.5300967	24.14188752	19.81106245	13.29500665	11.24762985	16.49604858	91.01709328
hsa04330	Notch signaling pathway	NEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa04340	Hedgehog signaling pathway	NEA	0	7.03849799	4.459550403	0	4.076666683	0	0	0	0	8.32127028	0	0	0	0	0	0	5.973996339
hsa04350	TGF-beta signaling pathway	NEA	20.42134927	24.36009379	15.70470782	19.71597652	16.44399129	15.10873824	13.10090381	13.26619282	12.11702774	23.81266629	14.9781024	19.84923118	18.36274977	8.668521832	9.971483341	11.92527603	64.45175303
hsa04370	VEGF signaling pathway	NEA	14.18954885	21.01984769	15.69958464	14.57603552	24.79475623	14.88479332	11.18806274	5.665780484	6.106878894	19.28603969	11.76110388	14.21504994	8.783710701	7.791466636	5.148047746	10.88614094	51.49921198
hsa04510	Focal adhesion	NEA	29.32911732	36.33701764	27.70912904	27.28882818	38.27555866	23.42087812	18.00427161	11.80597067	8.98639279	38.27555866	18.88583614	30.5883507	22.82356306	12.61916092	19.37678852	15.09894252	94.70634113
hsa04512	ECM-receptor interaction	NEA	38.27555866	38.27555866	30.76173475	38.27555866	38.27555866	31.10546868	30.42400477	30.57376312	30.05175717	38.27555866	32.0849913	38.27555866	38.27555866	27.21164482	28.79203171	23.95047502	133.2211955
hsa04514	Cell adhesion molecules	NEA	30.48623069	38.27555866	23.38762083	24.13480737	38.27555866	38.27555866	38.27555866	21.8473085	26.12619783	36.71868407	38.27555866	25.92926108	29.10473905	38.27555866	7.945953094	7.375768815	115.6774808
hsa04520	Adherens junction	NEA	18.89448771	25.53437888	18.8632178	16.24595363	24.32575411	16.12149068	14.07042419	9.934826326	8.280694478	23.05434204	14.31031104	18.75527115	14.98982761	9.070435953	11.01452383	11.28221723	63.68703916
hsa04620	Toll-like receptor signaling pathway	NEA	20.02304142	26.66991216	18.5409976	19.60318704	37.04110418	21.25706362	18.23268747	11.10732712	13.942146	26.483428	19.45036786	17.33360405	15.02113941	12.04521188	6.30491162	11.63389672	73.67250654
hsa04630	JAK-STAT signaling pathway	NEA	26.4704046	32.06149303	19.10877275	27.4568743	38.27555866	25.52229285	22.88919662	13.98364483	16.89893832	31.58607302	27.19013943	26.02635973	21.39018366	17.85080975	9.806353273	11.03930505	91.88909997
hsa04660	T cell receptor signaling pathway	NEA	15.10116161	20.37376537	13.10799287	13.09454781	37.4040213	19.53584346	16.55733564	2.635809469	5.523406629	22.17241138	14.09554907	13.2200595	8.746506774	10.67273066	3.374191044	7.000348756	55.65392034
hsa04662	B cell receptor signaling pathway	NEA	15.35244682	19.10213135	11.32527139	11.14887286	37.19650598	20.08447936	17.20150028	1.715651464	6.605870786	18.64260561	17.40485921	12.16462351	7.710559409	12.93695138	1.923907151	6.725129055	54.3103414
hsa04810	Regulation of actin cytoskeleton	NEA	10.89456594	16.1850126	12.20896694	9.206816896	24.88842194	11.0599405	6.637464609	0	0	14.08365645	6.111991896	11.35477706	5.481270072	2.577652502	6.364990735	3.835942117	35.22286756
hsa04915	Estrogen signaling pathway	NEA	22.69053055	33.67747794	27.38373675	23.87347997	28.22544404	22.90665755	18.21777423	13.17268399	10.30296317	30.5514838	20.10462081	24.46093319	17.82379833	12.77443502	10.79694311	15.53364999	83.12415311
hsa05160	Hepatitis C	NEA	5.543559615	12.72006816	5.584559101	10.82869728	15.00516732	6.091491033	3.267520468	3.138406833	0	11.94536316	4.657372337	9.742289935	3.609297771	0	5.741942297	7.375755097	26.3128726
hsa05161	Hepatitis B	NEA	26.84249541	31.62486524	23.40581656	27.52183017	32.27741593	20.74658818	18.29113346	18.36086816	17.36025502	32.15112458	22.75216603	25.66682651	19.93733329	14.35543981	16.59801543	19.05939839	91.73789304
hsa05165	Human papillomavirus infection	NEA	29.25057721	32.88347602	23.80510023	27.63947666	35.10641477	21.81029775	18.87990349	19.30171757	16.36068632	34.72569386	21.25336847	29.50248945	22.98893712	15.7628543	19.47141549	19.81349005	97.13897469
hsa05166	Human T-cell leukemia virus 1 infection	NEA	32.48508062	26.51035017	22.8476922	27.1956227	37.09599067	26.87462066	28.833946	24.09762147	23.3845662	27.35530071	32.14722256	27.13355791	24.55340234	26.44959555	21.14568116	18.95812388	106.7670937
hsa05167	Kaposi sarcoma-associated herpesvirus infection	NEA	25.60606114	34.69444722	24.51344164	27.3225391	38.27555866	26.45291509	22.68712609	15.80501728	14.61242448	32.77321105	25.20469587	24.09508656	20.74420919	15.47179149	9.971519284	16.04600123	93.56901135
hsa05169	Epstein-Barr virus infection	NEA	7.438642264	4.045311069	2.231629282	4.374598137	24.51044783	8.631795097	7.050342215	0	4.335337887	9.416385492	9.049391436	4.436971314	2.199210838	9.121030124	2.89643783	3.213650618	25.73779536
hsa05200	Pathways in cancer	NEA	38.27555866	38.27555866	38.27555866	38.27555866	38.27555866	38.27555866	38.27555866	38.27555866	38.27555866	38.27555866	38.27555866	38.27555866	38.27555866	37.41766274	32.98682555	36.90762706	151.2235945
hsa05202	Transcriptional misregulation in cancer	NEA	35.94905489	33.46398326	30.78143171	34.22951077	29.25881698	23.2027721	24.81253596	24.19738265	23.82639591	32.44422483	30.46529621	29.97369695	29.77748099	22.3686273	16.3491247	17.94001936	109.7600886
hsa05203	Viral carcinogenesis	NEA	19.72667584	11.10203814	13.86526697	18.15333211	12.43354218	5.025643333	5.048512447	7.403395161	6.490359974	10.26445913	11.09771273	15.8479868	9.924504041	9.67179239	14.68617404	9.24522467	44.99665499
hsa05204	Chemical carcinogenesis - DNA adducts	NEA	18.53901872	38.27555866	38.27555866	29.52240121	38.27555866	29.77012577	38.27555866	28.57983627	38.27555866	36.75120091	30.98387221	19.76520401	38.27555866	22.05915431	0	38.27555866	120.974931
hsa05205	Proteoglycans in cancer	NEA	29.10894624	37.8628987	30.23481199	27.96592657	38.27555866	27.62887102	22.46166445	16.51081645	13.07733478	38.09294887	22.41570161	29.43702001	22.74985421	14.35862991	15.86863994	17.4941411	100.8859411
hsa05206	MicroRNAs in cancer	NEA	34.06553363	31.88489181	27.69268986	32.31766448	31.36227749	24.34860149	24.04672388	26.19966513	23.56541863	33.58816043	27.61841002	32.36832164	28.47907453	22.34716817	24.55527562	22.81787304	111.8144375
hsa05207	Chemical carcinogenesis - receptor activation	NEA	33.2274971	38.27555866	38.07121562	36.7954021	38.27555866	33.16877311	34.37420372	28.17964745	37.24011941	38.27555866	32.72994658	33.04753871	38.27555866	23.11595015	15.7961637	30.25670702	132.2763498
hsa05208	Chemical carcinogenesis - reactive oxygen species	NEA	0	16.60780422	0	0	11.14709202	0	0	0	0	0	0	0	0	0	0	7.744578645	8.87486872
hsa05210	Colorectal cancer	NEA	28.0053357	31.20254097	26.18360318	27.5005603	31.42813666	24.76224202	23.82988944	20.90467638	17.33700087	31.93843627	24.25946458	26.44236887	23.98683131	18.39224538	15.8919939	18.52903813	97.64859098
hsa05211	Renal cell carcinoma	NEA	9.555080736	13.40079476	8.588258582	11.1108751	15.78265702	8.26443928	5.771162378	1.718311769	0	14.67050397	7.446716797	11.29550054	5.110814648	3.961055606	3.136527822	6.243572991	31.514068
hsa05214	Glioma	NEA	22.15474989	27.85117063	21.38384371	22.3591522	27.84293652	21.31217986	16.57276754	13.45263739	11.80862481	27.99543437	17.18826317	23.65950804	15.99518427	10.93730704	13.53152435	15.38420964	77.35737335
hsa05215	Prostate cancer	NEA	30.76128597	35.67968615	29.78217383	31.49687917	32.85270632	24.46817566	21.58826579	20.92447487	19.40851435	35.90348576	26.42649196	29.87051446	26.00729493	17.2099703	16.31124536	19.2894747	104.4951599
hsa05216	Thyroid cancer	NEA	17.50189349	22.02951045	17.51397913	18.58767526	17.13862127	13.48722031	13.46522772	14.66546029	11.58673761	21.05446772	13.86862534	16.47747891	18.08734454	9.282169384	9.134977998	13.17323962	61.76365726
hsa05219	Bladder cancer	NEA	14.29348924	18.3719116	13.480498	15.21358659	16.24995429	10.97646172	10.58910374	10.67020087	8.875605097	19.86717376	11.69491318	15.47570161	12.9481699	7.835419153	9.304560375	12.6490283	52.12394436
hsa05221	Acute myeloid leukemia	NEA	25.30523844	29.770688	24.40044842	26.32665508	32.79816287	23.95035883	22.58559355	16.90612	16.43910966	29.62373773	24.26139642	23.44386708	20.83152501	16.7460242	11.75043459	14.33409986	89.86836493
hsa05222	Small cell lung cancer	NEA	29.40656991	22.45122519	20.40069775	26.81679112	26.65119288	19.10921214	20.54650038	22.88980093	21.21259587	26.7039397	24.26938554	26.4839618	24.6126198	19.76813499	22.81943777	19.82232516	93.49109773
